PROVIDER_ID,report_indicator,Patient_Experience_cnt,Outcomes_Readmission_cnt,Outcomes_Mortality_cnt,Outcomes_Safety_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,cnt_grp,summary_score,star
050228,1,8,9,6,7,8,5,2,3) # of groups=5,-0.7112281982780555,1.0
050230,1,8,4,3,4,7,5,2,3) # of groups=5,-0.2616465745382111,3.0
050231,1,8,11,7,7,8,5,2,3) # of groups=5,0.125098634827433,4.0
050232,1,8,9,7,6,11,5,2,3) # of groups=5,0.7733881665435262,5.0
050234,1,8,6,3,4,7,5,2,3) # of groups=5,0.3003832920203534,4.0
050235,1,8,10,6,8,9,5,2,3) # of groups=5,0.1174888540998173,4.0
050236,1,8,8,6,7,9,5,2,3) # of groups=5,-0.4956599976703096,2.0
050238,1,8,8,6,8,8,5,2,3) # of groups=5,-0.0080859316701251,3.0
050239,1,8,9,7,7,10,5,2,3) # of groups=5,0.6829186458525338,5.0
050242,1,8,11,7,7,9,5,2,3) # of groups=5,0.383088975029198,4.0
050243,1,8,9,7,7,8,5,2,3) # of groups=5,-0.3274034832539002,2.0
050245,1,8,6,4,7,8,5,2,3) # of groups=5,-0.6720811680829287,1.0
050248,1,8,6,5,6,9,5,2,3) # of groups=5,0.0962158322289346,4.0
050254,1,8,9,6,5,11,5,2,3) # of groups=5,0.1069802255563015,4.0
050257,0,0,3,2,2,2,1,0,,1.0024338220515805,N/A
05025F,1,8,6,4,3,5,5,2,3) # of groups=5,-0.1224352426055552,3.0
050261,1,8,10,6,6,8,5,2,3) # of groups=5,-0.6522563722324736,1.0
050262,1,8,10,7,6,9,5,2,3) # of groups=5,0.4968747286445095,5.0
050272,1,8,8,4,7,9,5,2,3) # of groups=5,0.1425031692268552,4.0
050276,1,8,6,3,6,9,5,2,3) # of groups=5,-0.1921123342440107,3.0
050278,1,8,10,6,8,9,5,2,3) # of groups=5,0.4155340144813323,5.0
050279,0,8,3,2,2,8,3,0,1) # of groups=3,-0.0595896976520496,N/A
05027F,1,8,6,5,4,6,5,2,3) # of groups=5,-0.0956377190643986,3.0
050280,1,8,11,7,7,9,5,2,3) # of groups=5,-0.397133703265752,2.0
050281,1,8,3,3,4,6,5,2,3) # of groups=5,-0.1646757450399164,3.0
050283,1,8,9,7,7,11,5,2,3) # of groups=5,0.3742365336534928,4.0
050289,1,8,8,7,5,8,5,2,3) # of groups=5,-0.7931052828956091,1.0
050290,1,8,11,7,7,7,5,2,3) # of groups=5,0.4160601800742979,5.0
050291,1,8,10,6,7,10,5,2,3) # of groups=5,0.4697516539233397,5.0
050292,1,8,6,5,6,9,5,2,3) # of groups=5,-0.2552655827557786,3.0
