PROVIDER_ID,total_cnt,measure_wt,score_before_std,Mean,StdDev,Std_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,Std_Outcomes_Safety_score,Std_PatientExp_score,Std_Process_score
150173,7,0.1428571428571428,-0.0335174572612648,-0.0683912357439267,0.7043713990035915,0.0495104976323492,0.0104821029156353,0.8268249376818897,-0.0163916002422654,-0.0609898211961251
150177,0,,,-0.0683912357439267,0.7043713990035915,,-0.4293341414076632,-0.5018117691290801,,1.421834103214482
150179,0,,,-0.0683912357439267,0.7043713990035915,,-0.5203563984945601,1.4110119356821584,,0.9732615974758037
150181,2,0.5,0.7734695773617722,-0.0683912357439267,0.7043713990035915,1.1951944873068396,1.0215932288809162,0.7466683703097126,0.8338681402571041,1.0305740413244544
150183,2,0.5,0.2957145107998537,-0.0683912357439267,0.7043713990035915,0.5169229572053137,1.008664372784499,1.0857403664539726,0.4924435606153562,0.5440819220919187
150191,0,,,-0.0683912357439267,0.7043713990035915,,,,,1.466706293722179
150193,0,,,-0.0683912357439267,0.7043713990035915,,2.027137877067934,,,0.2682971122579178
151300,0,,,-0.0683912357439267,0.7043713990035915,,-0.1563086559692397,,1.0588694911183016,-0.0389019075526797
151301,0,,,-0.0683912357439267,0.7043713990035915,,-0.2986361173694572,,,0.3603513247951795
151302,1,1.0,0.640733284736436,-0.0683912357439267,0.7043713990035915,1.0067480330454857,0.8871582483478573,,,0.3575645499043098
151303,0,,,-0.0683912357439267,0.7043713990035915,,0.3188338579632235,,,1.2102672341611582
151304,1,1.0,-0.2238925013082955,-0.0683912357439267,0.7043713990035915,-0.2207660131918216,1.550176239918977,,,-0.240195411121213
151305,1,1.0,-0.341796017587127,-0.0683912357439267,0.7043713990035915,-0.3881542922241882,0.7375086116412876,,,1.373482308678134
151306,1,1.0,0.169119219621124,-0.0683912357439267,0.7043713990035915,0.3371949169160397,0.3896031080236528,,,0.7232921322541082
151307,2,0.5,-0.0973003030429462,-0.0683912357439267,0.7043713990035915,-0.0410423639289081,1.0111967609484984,,,1.0315121703854009
151308,0,,,-0.0683912357439267,0.7043713990035915,,0.5207156031896398,,,0.8617308515524724
151309,0,,,-0.0683912357439267,0.7043713990035915,,0.8294505908559819,,,-1.9815749731970504
151310,3,0.3333333333333333,-0.724049648139066,-0.0683912357439267,0.7043713990035915,-0.9308419014778824,0.988629040887073,-0.3218944152096075,1.429738970063707,0.5301221599488688
151311,2,0.5,0.0881511362351949,-0.0683912357439267,0.7043713990035915,0.2222440777700053,-0.0815897548673602,0.2221649193821416,,1.0416560022648675
151312,4,0.25,0.574338916532979,-0.0683912357439267,0.7043713990035915,0.9124875785503443,0.1865753843181289,-0.5068828482718367,,1.0579871568767616
151313,1,1.0,0.2084203917140664,-0.0683912357439267,0.7043713990035915,0.3929910099268265,0.4926124525486207,0.2221649193821416,,0.1107949179125449
151314,0,,,-0.0683912357439267,0.7043713990035915,,-1.669833865305361,,,0.7128637581774582
151315,1,1.0,0.8372391452011435,-0.0683912357439267,0.7043713990035915,1.2857284980994133,1.166918755770828,-2.650572337287083,1.8007108302690622,0.7940716558093065
151316,1,1.0,-0.3810971896800694,-0.0683912357439267,0.7043713990035915,-0.443950385234975,0.4473446589892466,,,1.137207540951918
151317,3,0.3333333333333333,-0.2501576528979157,-0.0683912357439267,0.7043713990035915,-0.2580547952559076,0.3610084811533992,,1.3512762907060751,0.648627973329849
151318,3,0.3333333333333333,-0.9059192974118168,-0.0683912357439267,0.7043713990035915,-1.1890432559480169,-0.1531693271848981,-3.118484256209193,0.4116740489103311,-0.4247905057295376
151319,0,,,-0.0683912357439267,0.7043713990035915,,-0.0967543721430409,,,0.2426475313298422
151320,1,1.0,0.2870227358999512,-0.0683912357439267,0.7043713990035915,0.5045831959484001,1.1623020269863151,,,0.9455373201617404
151322,3,0.3333333333333333,0.2426066157284384,-0.0683912357439267,0.7043713990035915,0.441525382649416,0.1950378116068637,,,-1.504789683766902
151323,2,0.5,0.2600960838268503,-0.0683912357439267,0.7043713990035915,0.4663552779619636,0.0984114325636909,1.4110119356821584,1.0602784768957374,1.0619866870633408
151324,1,1.0,0.2084203917140664,-0.0683912357439267,0.7043713990035915,0.3929910099268265,0.9509408324639892,,,0.8530321497024135
151325,0,,,-0.0683912357439267,0.7043713990035915,,0.5481760259046802,-8.71166393820836,,0.6583181968799505
151326,3,0.3333333333333333,0.18986495359334,-0.0683912357439267,0.7043713990035915,0.3666477510338972,-0.5575190475945044,,,1.5182488015315292
151327,1,1.0,-0.0666878129365303,-0.0683912357439267,0.7043713990035915,0.0024183588513191,0.011816263593893,,,-0.1293246614358403
151328,4,0.25,0.1556354232409895,-0.0683912357439267,0.7043713990035915,0.3180518960619722,0.2748861851248441,1.4167066275656837,,-0.1186012584278468
151329,3,0.3333333333333333,-0.8305327173856476,-0.0683912357439267,0.7043713990035915,-1.0820165082225817,-0.0825211660371133,0.1413835340777099,0.5125817096176581,-1.0875816443681925
151330,2,0.5,0.0156897934959188,-0.0683912357439267,0.7043713990035915,0.119370305720515,0.7415101504941255,-0.0498526018827996,1.1303053310748516,-0.5768739336179917
151331,3,0.3333333333333333,0.6501762077346721,-0.0683912357439267,0.7043713990035915,1.0201542034430828,-0.8930442573013244,,1.049944174020788,0.2664370178808997
151332,3,0.3333333333333333,-1.2257645813829048,-0.0683912357439267,0.7043713990035915,-1.6431293878147328,0.1622622785603423,-0.6456241730685088,0.6141543230655466,1.1416366061166905
151333,3,0.3333333333333333,0.6235775399368574,-0.0683912357439267,0.7043713990035915,0.9823919265598344,0.3455687617969452,,,0.5711052605217356
