PROVIDER_ID,report_indicator,Patient_Experience_cnt,Outcomes_Readmission_cnt,Outcomes_Mortality_cnt,Outcomes_Safety_cnt,Process_cnt,Total_measure_group_cnt,MortSafe_Group_cnt,cnt_grp
040085,0,0,4,1,0,7,2,0,
040088,1,8,8,6,4,10,5,2,3) # of groups=5
04009F,1,8,4,3,1,5,4,1,2) # of groups=4
04010F,1,8,5,5,3,7,5,2,3) # of groups=5
040114,1,8,9,7,8,10,5,2,3) # of groups=5
040118,1,8,11,7,7,11,5,2,3) # of groups=5
040119,1,8,10,6,8,10,5,2,3) # of groups=5
040132,0,0,0,0,0,2,0,0,
040134,1,8,8,7,5,7,5,2,3) # of groups=5
040137,1,8,5,5,4,6,5,2,3) # of groups=5
040147,0,8,3,0,2,4,3,0,1) # of groups=3
040152,0,8,1,0,2,2,1,0,
040153,0,0,3,2,0,6,2,0,
040154,1,8,8,6,5,10,5,2,3) # of groups=5
040156,0,0,4,2,0,8,2,0,
040161,1,8,6,3,2,9,4,1,2) # of groups=4
041300,0,0,2,1,0,5,1,0,
041302,0,0,0,0,0,5,1,0,
041303,0,0,1,0,0,5,1,0,
041304,0,0,2,0,0,2,0,0,
041305,0,0,2,1,0,5,1,0,
041306,0,0,2,0,0,3,1,0,
041307,0,0,5,2,0,6,2,0,
041308,0,0,1,0,0,3,1,0,
041309,0,0,3,1,0,4,2,0,
041310,0,0,5,1,1,7,2,0,
041311,0,0,4,2,0,4,2,0,
041312,0,0,5,2,0,7,2,0,
041313,0,0,4,1,0,5,2,0,
041314,0,0,2,1,0,3,1,0,
041316,0,0,1,1,0,4,1,0,
041317,0,0,1,0,0,4,1,0,
041318,0,0,2,1,0,6,1,0,
041320,0,0,1,0,0,3,1,0,
041321,0,0,3,1,1,9,2,0,
041322,0,0,4,3,0,1,2,1,
041323,1,0,4,4,1,3,3,1,1) # of groups=3
041324,0,0,3,1,0,7,2,0,
041326,0,0,2,1,0,1,0,0,
041327,0,0,2,1,0,3,1,0,
041328,0,0,3,1,0,4,2,0,
041329,0,0,3,1,0,6,2,0,
041330,0,0,4,3,0,2,2,1,
041331,0,0,1,0,0,1,0,0,
041332,0,8,1,0,0,4,2,0,
050002,1,8,6,5,5,7,5,2,3) # of groups=5
050006,1,8,11,7,7,11,5,2,3) # of groups=5
050007,1,8,11,7,7,10,5,2,3) # of groups=5
050008,1,8,5,4,6,6,5,2,3) # of groups=5
050009,1,8,11,7,7,11,5,2,3) # of groups=5
050013,1,8,11,7,5,8,5,2,3) # of groups=5
050014,1,8,9,4,3,9,5,2,3) # of groups=5
050017,1,8,9,7,8,9,5,2,3) # of groups=5
050022,1,8,9,7,7,9,5,2,3) # of groups=5
050024,1,8,4,4,3,7,5,2,3) # of groups=5
050025,1,8,11,7,8,10,5,2,3) # of groups=5
050026,1,8,9,7,7,10,5,2,3) # of groups=5
050028,0,8,6,2,1,9,3,0,1) # of groups=3
050030,1,8,9,6,6,10,5,2,3) # of groups=5
050036,1,8,10,6,8,8,5,2,3) # of groups=5
050038,1,8,11,7,7,11,5,2,3) # of groups=5
050039,1,8,11,7,7,11,5,2,3) # of groups=5
050040,1,8,5,2,6,8,4,1,2) # of groups=4
050042,1,8,8,4,2,11,4,1,2) # of groups=4
050043,1,8,11,7,7,9,5,2,3) # of groups=5
050045,1,8,8,5,5,9,5,2,3) # of groups=5
050047,1,8,10,7,6,10,5,2,3) # of groups=5
050054,1,8,4,3,3,9,5,2,3) # of groups=5
050055,1,8,6,3,7,6,5,2,3) # of groups=5
050056,1,8,8,6,8,8,5,2,3) # of groups=5
050057,1,8,11,7,7,11,5,2,3) # of groups=5
050058,1,8,9,7,7,8,5,2,3) # of groups=5
050060,1,8,10,7,7,10,5,2,3) # of groups=5
050063,1,8,8,6,7,8,5,2,3) # of groups=5
050067,0,0,3,1,1,6,2,0,
050069,1,8,10,7,8,10,5,2,3) # of groups=5
050070,1,8,1,0,6,3,3,1,1) # of groups=3
050071,1,8,1,0,6,4,3,1,1) # of groups=3
050072,1,8,1,0,6,4,3,1,1) # of groups=3
050073,1,8,1,1,6,4,3,1,1) # of groups=3
050075,1,8,4,6,6,4,5,2,3) # of groups=5
050076,1,8,1,0,6,4,3,1,1) # of groups=3
050077,1,8,11,7,7,11,5,2,3) # of groups=5
050078,1,8,6,4,3,7,5,2,3) # of groups=5
050082,1,8,11,7,7,11,5,2,3) # of groups=5
050084,1,8,8,7,6,10,5,2,3) # of groups=5
050089,1,8,4,2,5,8,4,1,2) # of groups=4
050090,1,8,5,3,2,10,4,1,2) # of groups=4
050091,0,8,3,2,2,6,3,0,1) # of groups=3
050093,1,8,9,7,8,11,5,2,3) # of groups=5
050096,0,0,3,2,1,2,1,0,
050099,1,8,8,7,8,10,5,2,3) # of groups=5
050100,1,8,10,6,8,8,5,2,3) # of groups=5
050101,1,8,9,6,6,8,5,2,3) # of groups=5
050102,1,8,6,3,6,9,5,2,3) # of groups=5
050103,1,8,6,4,6,8,5,2,3) # of groups=5
050104,1,8,4,5,6,8,5,2,3) # of groups=5
050107,1,8,11,7,8,10,5,2,3) # of groups=5
050108,1,8,11,7,8,8,5,2,3) # of groups=5
050110,1,8,7,4,4,10,5,2,3) # of groups=5
050112,1,8,10,6,7,9,5,2,3) # of groups=5
050113,1,8,2,0,4,7,3,1,1) # of groups=3
050115,1,8,9,7,7,10,5,2,3) # of groups=5
050116,1,8,10,7,7,7,5,2,3) # of groups=5
050118,1,8,6,5,3,11,5,2,3) # of groups=5
050121,1,8,7,6,7,11,5,2,3) # of groups=5
050122,1,8,7,6,6,8,5,2,3) # of groups=5
050124,1,8,7,6,6,9,5,2,3) # of groups=5
050125,1,8,9,7,7,6,5,2,3) # of groups=5
050126,1,8,8,6,7,8,5,2,3) # of groups=5
050127,1,8,8,4,5,10,5,2,3) # of groups=5
050128,1,8,9,6,7,9,5,2,3) # of groups=5
050129,1,8,7,7,6,8,5,2,3) # of groups=5
050131,1,8,7,3,3,7,5,2,3) # of groups=5
050132,1,8,6,5,6,7,5,2,3) # of groups=5
