PROVIDER_ID,total_cnt,measure_wt,score_before_std,Mean,StdDev,Std_Outcomes_Mortality_score,Std_Outcomes_Readmission_score,Std_Outcomes_Safety_score,Std_PatientExp_score,Std_Process_score,std_weight_Std_PatientExp_score,std_weight_Std_Outcomes_Readmission_score,std_weight_Std_Outcomes_Mortality_score,std_weight_Std_Outcomes_Safety_score,std_weight_Std_Process_score,I_Std_PatientExp_score,I_Std_Outcomes_Readmission_score,I_Std_Outcomes_Mortality_score,I_Std_Outcomes_Safety_score,I_Std_Process_score,weight_Std_PatientExp_score,weight_Std_Outcomes_Readmission_score,weight_Std_Outcomes_Mortality_score,weight_Std_Outcomes_Safety_score,weight_Std_Process_score,sum_weight_ave_Std_PatientExp_score,sum_weight_ave_Std_Outcomes_Readmission_score,sum_weight_ave_Std_Outcomes_Mortality_score,sum_weight_ave_Std_Outcomes_Safety_score,sum_weight_ave_Std_Process_score,summary_score
010059,1,1.0,0.2084203917140664,-0.0683912357439267,0.7043713990035915,0.3929910099268265,0.6884446420813904,,,0.7587226347558857,0.22,0.22,0.22,0.22,0.12,1,0,0,1,0,,0.39285714285714285,0.39285714285714285,,0.21428571428571425,,0.27046039510340336,0.15438932532839614,,0.16258342173340407,0.5874331421652035
010061,3,0.3333333333333333,-0.4017119667538203,-0.0683912357439267,0.7043713990035915,-0.4732172991143754,-0.1642540078529955,-1.8266054607962907,0.2549240642402242,-0.6927128408714056,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,0.05608329413284932,-0.036135881727659004,-0.10410780580516259,-0.40185320137518393,-0.08312554090456867,-0.5691391356797249
010062,1,1.0,-0.4596995338659542,-0.0683912357439267,0.7043713990035915,-0.5555425712565485,-0.1148981938235625,0.8333166122868401,,-2.182455639454289,0.22,0.22,0.22,0.22,0.12,1,0,0,0,0,,0.28205128205128205,0.28205128205128205,0.28205128205128205,0.15384615384615383,,-0.0324071828733125,-0.15669149445697522,0.23503801885013437,-0.3357624060698906,-0.289823064550044
010065,3,0.3333333333333333,-0.371336782336716,-0.0683912357439267,0.7043713990035915,-0.4300934805435571,0.6278250492317845,-0.4992767884559017,0.6144659739117628,0.1018459897019586,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,0.13518251426058783,0.13812151083099258,-0.09462056571958256,-0.10984089346029836,0.012221518764235032,0.08106408467593454
010069,2,0.5,-0.4682062745126041,-0.0683912357439267,0.7043713990035915,-0.5676196383530883,0.8596429644636137,0.8333166122868401,0.2591694025116691,-2.142730931899933,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,0.0570172685525672,0.189121452181995,-0.12487632043767942,0.1833296547031048,-0.25712771182799193,0.04746434317199566
010073,1,1.0,-1.402927664096566,-0.0683912357439267,0.7043713990035915,-1.8946488035154232,1.0730871118437266,0.7972560759772496,,0.7134239588014529,0.22,0.22,0.22,0.22,0.12,1,0,0,0,0,,0.28205128205128205,0.28205128205128205,0.28205128205128205,0.15384615384615383,,0.3026655956482306,-0.5343881240684527,0.22486709835255758,0.10975753212330043,0.1029021020556359
010078,6,0.1666666666666666,-0.0108793922866083,-0.0683912357439267,0.7043713990035915,0.0816498846186472,0.0306999800777189,-0.4740777147885339,-0.5283733653364128,-0.8151600725515029,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,-0.11624214037401082,0.006753995617098158,0.017962974616102384,-0.10429709725347745,-0.09781920870618034,-0.29364147610046804
010079,4,0.25,-0.7296771611440931,-0.0683912357439267,0.7043713990035915,-0.9388313130482384,-0.9665582766847328,0.3964105312058894,0.708053813479582,-0.8575193095896232,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,0.15577183896550803,-0.2126428208706412,-0.20654288887061245,0.08721031686529568,-0.10290231715075478,-0.2791058710612047
010083,6,0.1666666666666666,-0.0025604259976892,-0.0683912357439267,0.7043713990035915,0.0934603674132172,0.7672896812129166,0.2742385876314857,0.9130378334593277,0.3974470879909498,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,0.2008683233610521,0.16880372986684167,0.020561280830907785,0.06033248927892685,0.047693650558913975,0.4982594738966424
010085,6,0.1666666666666666,-0.1621937652108125,-0.0683912357439267,0.7043713990035915,-0.1331719737621083,-0.2680358924217761,-0.267562669239321,-0.2091034469664671,-0.4882469290514488,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,-0.04600275833262276,-0.058967896332790745,-0.029297834227663824,-0.058863787232650615,-0.058589631486173854,-0.25172190761190183
010086,3,0.3333333333333333,-1.0329075435390391,-0.0683912357439267,0.7043713990035915,-1.3693291765672535,0.9478051656819756,0.399863434129883,0.4870911061876874,-1.0782111000707637,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,0.10716004336129123,0.20851713645003464,-0.30125241884479576,0.08796995550857427,-0.12938533200849164,-0.02699061553338726
010087,4,0.25,0.0920152483975815,-0.0683912357439267,0.7043713990035915,0.2277299793382018,-0.3261124744134953,0.0056589623501161,-0.6727019082973306,-0.1489357691769226,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,-0.14799441982541273,-0.07174474437096896,0.050100595454404394,0.0012449717170255421,-0.017872292301230712,-0.18626588932618246
010089,4,0.25,-0.0805840622399447,-0.0683912357439267,0.7043713990035915,-0.0173102237161617,-0.7066757037811983,0.4695996616556365,-0.7270042997620156,-0.8028879543977722,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,-0.15994094594764344,-0.15546865483186362,-0.003808249217555574,0.10331192556424003,-0.09634655452773265,-0.3122524789605553
010090,7,0.1428571428571428,-0.9633590726971648,-0.0683912357439267,0.7043713990035915,-1.2705908249813462,0.4231687613477686,0.153502753700779,-0.1046187330430868,-0.2760117099381925,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,-0.023016121269479096,0.09309712749650909,-0.2795299814958962,0.033770605814171385,-0.0331214051925831,-0.20879977464727792
010091,0,,,-0.0683912357439267,0.7043713990035915,,-0.0494554135293157,,,-0.4784085272555675,0.22,0.22,0.22,0.22,0.12,1,0,1,1,0,,0.6470588235294118,,,0.35294117647058826,,-0.03200056169543957,,,-0.1688500684431415,-0.20085063013858107
010092,7,0.1428571428571428,-0.6601318786715294,-0.0683912357439267,0.7043713990035915,-0.840097488008007,-0.0004568902273402,0.0182091158042211,-1.3212096324779912,-1.826104626910776,0.22,0.22,0.22,0.22,0.12,0,0,0,0,0,0.22,0.22,0.22,0.22,0.12,-0.29066611914515805,-0.000100515850014844,-0.18482144736176154,0.004006005476928642,-0.2191325552292931,-0.690714632109299
010095,0,,,-0.0683912357439267,0.7043713990035915,,0.7618825107845283,,,0.0718069813894841,0.22,0.22,0.22,0.22,0.12,1,0,1,1,0,,0.6470588235294118,,,0.35294117647058826,,0.4929828010958713,,,0.025343640490406157,0.5183264415862774
