PROVIDER_ID,total_cnt,measure_wt,score_before_std,Mean,StdDev,grp_score
011305,8,0.125,1.641837230213094,5.2779404698986086e-17,0.8702042369988301,1.8867263113720063
011306,0,,,5.2779404698986086e-17,0.8702042369988301,
020001,8,0.125,0.37667824881658973,5.2779404698986086e-17,0.8702042369988301,0.4328618878203601
020006,8,0.125,0.29305894406823235,5.2779404698986086e-17,0.8702042369988301,0.3367703024280107
020008,8,0.125,0.5955985866352362,5.2779404698986086e-17,0.8702042369988301,0.6844354018423803
020012,8,0.125,0.10399184708107012,5.2779404698986086e-17,0.8702042369988301,0.11950280481248665
020017,8,0.125,-0.27045444435907345,5.2779404698986086e-17,0.8702042369988301,-0.31079421687467274
020018,0,,,5.2779404698986086e-17,0.8702042369988301,
020024,8,0.125,0.18706875205574447,5.2779404698986086e-17,0.8702042369988301,0.2149710885124039
020026,8,0.125,-0.7097390192024051,5.2779404698986086e-17,0.8702042369988301,-0.8156005096575498
021301,0,,,5.2779404698986086e-17,0.8702042369988301,
021302,0,,,5.2779404698986086e-17,0.8702042369988301,
021304,0,,,5.2779404698986086e-17,0.8702042369988301,
021305,0,,,5.2779404698986086e-17,0.8702042369988301,
021306,0,,,5.2779404698986086e-17,0.8702042369988301,
021307,0,,,5.2779404698986086e-17,0.8702042369988301,
021308,0,,,5.2779404698986086e-17,0.8702042369988301,
021309,0,,,5.2779404698986086e-17,0.8702042369988301,
021310,0,,,5.2779404698986086e-17,0.8702042369988301,
021311,8,0.125,0.9489633640700208,5.2779404698986086e-17,0.8702042369988301,1.0905064854002735
021312,0,,,5.2779404698986086e-17,0.8702042369988301,
021313,8,0.125,1.311338189506439,5.2779404698986086e-17,0.8702042369988301,1.5069315153290872
021314,0,,,5.2779404698986086e-17,0.8702042369988301,
030002,8,0.125,-0.5797020170875746,5.2779404698986086e-17,0.8702042369988301,-0.666167771242826
030006,8,0.125,-0.8300757212703395,5.2779404698986086e-17,0.8702042369988301,-0.9538860947553114
030007,8,0.125,-0.10194018924978654,5.2779404698986086e-17,0.8702042369988301,-0.1171451308963503
030010,8,0.125,-1.2821612097172976,5.2779404698986086e-17,0.8702042369988301,-1.473402628030437
030011,8,0.125,-1.52580488203735,5.2779404698986086e-17,0.8702042369988301,-1.7533870982972486
030012,8,0.125,-0.8538441502651912,5.2779404698986086e-17,0.8702042369988301,-0.9811997160688832
030013,8,0.125,-0.7659447837658375,5.2779404698986086e-17,0.8702042369988301,-0.8801896741016066
030014,8,0.125,-0.07513603974352702,5.2779404698986086e-17,0.8702042369988301,-0.08634299460854968
030016,8,0.125,-1.019956417918026,5.2779404698986086e-17,0.8702042369988301,-1.1720885449094836
030022,8,0.125,-0.6301009185762853,5.2779404698986086e-17,0.8702042369988301,-0.724083946947195
030023,8,0.125,-0.08913209442551084,5.2779404698986086e-17,0.8702042369988301,-0.10242663806477276
030024,8,0.125,0.11885147398833537,5.2779404698986086e-17,0.8702042369988301,0.1365788270558548
030030,8,0.125,-1.9290227030061193,5.2779404698986086e-17,0.8702042369988301,-2.216747081879254
030036,8,0.125,-0.16960788632286342,5.2779404698986086e-17,0.8702042369988301,-0.19490583832113828
030037,8,0.125,-1.0844565105293902,5.2779404698986086e-17,0.8702042369988301,-1.2462091821909254
030038,8,0.125,0.16279872472182416,5.2779404698986086e-17,0.8702042369988301,0.187081052700095
030043,8,0.125,-0.8977914009986802,5.2779404698986086e-17,0.8702042369988301,-1.0317019417131235
030055,8,0.125,-1.0871296978726839,5.2779404698986086e-17,0.8702042369988301,-1.2492810901748637
030061,8,0.125,-1.217389917219092,5.2779404698986086e-17,0.8702042369988301,-1.3989703399027793
030062,8,0.125,-0.5886108191751613,5.2779404698986086e-17,0.8702042369988301,-0.6764053703130299
030064,8,0.125,-0.6293353015710244,5.2779404698986086e-17,0.8702042369988301,-0.7232041339415708
030065,8,0.125,-1.326874077456047,5.2779404698986086e-17,0.8702042369988301,-1.5247846666803013
030069,8,0.125,-1.4725435047040527,5.2779404698986086e-17,0.8702042369988301,-1.6921814926833463
030071,8,0.125,-0.33296281457178134,5.2779404698986086e-17,0.8702042369988301,-0.38262605537305494
030073,8,0.125,-0.014823458095919118,5.2779404698986086e-17,0.8702042369988301,-0.017034458654260835
030074,0,,,5.2779404698986086e-17,0.8702042369988301,
030078,8,0.125,0.5003561509634388,5.2779404698986086e-17,0.8702042369988301,0.5749870314227297
030083,8,0.125,-1.547665740694169,5.2779404698986086e-17,0.8702042369988301,-1.7785086246325064
030084,8,0.125,-1.6751686206366603,5.2779404698986086e-17,0.8702042369988301,-1.9250292625717385
030085,8,0.125,-1.3474269193339223,5.2779404698986086e-17,0.8702042369988301,-1.548403078317503
030087,8,0.125,-0.3327757667455632,5.2779404698986086e-17,0.8702042369988301,-0.38241110833158426
030088,8,0.125,-1.3940473574107048,5.2779404698986086e-17,0.8702042369988301,-1.6019772119456814
030089,8,0.125,-1.021321588482376,5.2779404698986086e-17,0.8702042369988301,-1.1736573381953657
